Filname | Image size | File Type | URL
vac_bans.png | 815x746 | PNG | https://github.com/varnish/Varnish-Book/blob/master/ui/img/vac_bans.png
vac_cli.png | 1616x400 | PNG | https://github.com/varnish/Varnish-Book/blob/master/ui/img/vac_cli.png
vac_config.png | 811x613 | PNG | https://github.com/varnish/Varnish-Book/blob/master/ui/img/vac_config.png
vac_hit_meter.png | 798x472 | PNG | https://github.com/varnish/Varnish-Book/blob/master/ui/img/vac_hit_meter.png
vac_hitrate.png | 1480x378 | PNG | https://github.com/varnish/Varnish-Book/blob/master/ui/img/vac_hitrate.png
vac_hitrate_req.png | 1636x350 | PNG | https://github.com/varnish/Varnish-Book/blob/master/ui/img/vac_hitrate_req.png
vac_parameters.png | 815x797 | PNG | https://github.com/varnish/Varnish-Book/blob/master/ui/img/vac_parameters.png
vac_realtime_counters.png | 826x354 | PNG | https://github.com/varnish/Varnish-Book/blob/master/ui/img/vac_realtime_counters.png
vac_screenshot_1.png | 2560x1600 | PNG | https://github.com/varnish/Varnish-Book/blob/master/ui/img/vac_screenshot_1.png
vac_screenshot_2.png | 2560x1600 | PNG | https://github.com/varnish/Varnish-Book/blob/master/ui/img/vac_screenshot_2.png
vac_screenshot_3.png | 2560x1600 | PNG | https://github.com/varnish/Varnish-Book/blob/master/ui/img/vac_screenshot_3.png
vac_varnishadm.png | 1224x312 | PNG | https://github.com/varnish/Varnish-Book/blob/master/ui/img/vac_varnishadm.png
vac_vcl.png | 813x463 | PNG | https://github.com/varnish/Varnish-Book/blob/master/ui/img/vac_vcl.png
vagent2.png | 1446x647 | PNG | https://github.com/varnish/Varnish-Book/blob/master/ui/img/vagent2.png
vcs-ui-chart.png | 831x285 | PNG | https://github.com/varnish/Varnish-Book/blob/master/ui/img/vcs-ui-chart.png
vcsui_header_2.png | 1069x337 | PNG | https://github.com/varnish/Varnish-Book/blob/master/ui/img/vcsui_header_2.png
